Cargo,Nome da Empresa,Local,Link para a Vaga
Sr Backend Developer - Python - (100% Remoto),invillia,,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&bb=SG8Hnz7Zv-bCtveFtlKW_yF2cN29ytSwsHjIbqsj5hYK_UR8lEB4IPDCcZMnLsC3enfFpFQI758VLKgF7S6UZ31TGzix1UvLCwTYTfa_h2k1TV1UGDIgOg%3D%3D&xkcb=SoDL67M3CTYWcgWbXh0DbzkdCdPP&fccid=f185a6210cec2dc0&vjs=3
Desenvolvedor Sales Force,Agile inc,,https://br.indeed.com/rc/clk?jk=44117ae2360dc4d5&bb=SG8Hnz7Zv-bCtveFtlKW_wpW0TOKIWok6nI6NRKTl_yc0cfenZnxi-FjMgN2_k-IQHXB6SG6YD93y8YIClXWWtGAcb8Y7Mu0ryyIsYSBNoz1e5hTpN9row%3D%3D&xkcb=SoB_67M3CTYWcgWbXh0CbzkdCdPP&fccid=4c07629539760b0e&vjs=3
Desenvolvedor Backend Júnior Python / Pesquisa + Desenvolvimento - Trabalho Remoto,BairesDev,"Home office in Joinville, SC",https://br.indeed.com/rc/clk?jk=a6aa605ebce658aa&bb=SG8Hnz7Zv-bCtveFtlKW_w760YOeB0NzEp2CjeXe-WcexeWWsNCSABjP6lU4BMmBKGyihYxDO0-WzUsnREYTGEh6RAc1EBcU5-2_URNiJvxacuY7HCDB-g%3D%3D&xkcb=SoDi67M3CTYWcgWbXh0BbzkdCdPP&fccid=29707109e86166e5&vjs=3
Desenvolvedor(a) Back-end Python,GeekHunter,,https://br.indeed.com/rc/clk?jk=5316788316870e4b&bb=SG8Hnz7Zv-bCtveFtlKW_0wTcWiUfvHwhY17U3uAPfLiC9gcn-8Mka8Nvj2gtIE4zgftb38Aj0zwGGv_9T-QTNDOYMqdARV9_nGlJILLakh-f54nqqXGow%3D%3D&xkcb=SoBW67M3CTYWcgWbXh0AbzkdCdPP&fccid=9ba8dec3013c0c90&vjs=3
Estágio,Liberta,"Home office in Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=2e5d8f6cb18e1cf3&bb=SG8Hnz7Zv-bCtveFtlKW_6S3LeN-jNPuvA_JWIiNqw2Hp8V5UQu-mqEGe4EoMGbVsPM9wwKdz6-hy7wv6BNEdRChFbPO_MPcmCdCS697ymiZyh5H3NyOeg%3D%3D&xkcb=SoDY67M3CTYWcgWbXh0HbzkdCdPP&fccid=2c3eb1c9d92b8789&vjs=3
Work From Home Python Developer,BairesDev,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=c7eda0f4dec9d59a&bb=SG8Hnz7Zv-bCtveFtlKW_w2HoxYGttO9rlXmXWGRk5faUdyQFCYc-CIZHLrmTCObI-UZqmGtPVb4MMmN_kNtHwvWYxRzebztxOCzcYbJMl-0zlbwSNcAXA%3D%3D&xkcb=SoBs67M3CTYWcgWbXh0GbzkdCdPP&fccid=29707109e86166e5&vjs=3
Pessoa Desenvolvedora Back-end | DBaaS,Globo,,https://br.indeed.com/rc/clk?jk=49797c0382e8a407&bb=SG8Hnz7Zv-bCtveFtlKW__5azOhahGDjfJl_wUmnSLoTi-sMQKmk5acxceD-eG69qUz1wm9hPrt0nklSAc20Qvkv69bA0mpFNH9-9r9bTNhgMjZKO8v0IA%3D%3D&xkcb=SoDx67M3CTYWcgWbXh0FbzkdCdPP&fccid=0e1f81ffc3373afd&vjs=3
Python Developer - Remote Work,BairesDev,"Home office in Brasília, DF",https://br.indeed.com/rc/clk?jk=3bff248ee1394f6b&bb=eDacy8FDwT2e1Ker7xjHHl8MEtOPS84GltHbL8wTqK8ViTwGB1XV16nQrGUQySDK2lNCAsjDvpLQammk5FFmU03P7IuIY2CM-F2rm8sw36i24NETOVlKow%3D%3D&xkcb=SoBz67M3CTYTxIgDp70LbzkdCdPP&fccid=29707109e86166e5&vjs=3
Data Analyst - All Levels!,Bip Brasil,,https://br.indeed.com/rc/clk?jk=75e14f9ed15b0312&bb=eDacy8FDwT2e1Ker7xjHHsdz4yt6giVMJlUwSuce8-gHHosiaYNALD864E3ftKfM_JnO2CYihQbUYndJV1oPCJF358MErVY9FG8lHJTZhFmmpc95FfvhGQ%3D%3D&xkcb=SoDH67M3CTYTxIgDp70KbzkdCdPP&fccid=c7fb5f7b576a671c&vjs=3
Analista Desenvolvedor RPA,Solutis Tecnologias LTDA,,https://br.indeed.com/rc/clk?jk=6739dc96f1e49703&bb=eDacy8FDwT2e1Ker7xjHHqLgRvsjwh_qPIp3p1EuYiKSZyLPa73gI-DNgiau-3MfMKAHIdmxJu9C0OWh-PFQTK2UvFtDAJ5NyWRtJVrWMimIdOZiS3YMjQ%3D%3D&xkcb=SoBa67M3CTYTxIgDp70JbzkdCdPP&fccid=840fc28bfcd8a363&vjs=3
